Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
3.4,3.691406,374,623,557,2620,350.53,0.317,348,42,290,6.88,35.34701833,-117.8092517,12,6,17,45,45.2,1182468,595,-47
3.59,3.628906,396,696,629,2692,373.84,0.338,371,46,290,7.07,35.34702667,-117.80928,12,6,17,45,45.4,1182487,665,-62
3.8,3.808594,420,782,706,2769,396.3,0.358,393,51,289,7.39,35.347035,-117.80931,12,6,17,45,45.6,1182508,741,-52
4,3.628906,444,868,787,2850,419.03,0.379,415,58,287,7.96,35.347045,-117.809345,12,6,17,45,45.8,1182528,822,-49
4.2,3.628906,467,959,872,2935,440.82,0.399,436,65,283,8.48,35.34705333,-117.809385,12,6,17,45,46,1182548,907,-47
4.4,3.628906,490,1055,962,3025,463.32,0.419,458,70,281,8.69,35.34706167,-117.8094283,12,6,17,45,46.2,1182568,997,-49
4.6,3.628906,513,1156,1056,3119,486.51,0.441,481,73,279,8.63,35.34706833,-117.8094767,12,6,17,45,46.4,1182588,1092,-54
4.8,3.75,537,1261,1155,3218,509.7,0.462,504,76,279,8.58,35.347075,-117.809525,12,6,17,45,46.6,1182608,1191,-64
5,3.691406,560,1371,1258,3321,532.2,0.482,526,81,279,8.75,35.34708167,-117.8095783,12,6,17,45,46.8,1182628,1295,-54
5.2,3.511719,583,1485,1365,3428,555.18,0.503,548,89,279,9.22,35.34708833,-117.8096333,12,6,17,45,47,1182648,1403,-52
5.41,3.808594,608,1611,1477,3540,578.03,0.524,570,96,277,9.56,35.347095,-117.809695,12,6,17,45,47.2,1182669,1517,-53
5.6,3.394531,630,1728,1593,3656,600.55,0.545,592,101,274,9.68,35.3471,-117.8097617,12,6,17,45,47.4,1182688,1634,-59
5.8,3.691406,653,1857,1715,3778,622.91,0.565,614,105,273,9.7,35.347105,-117.80983,12,6,17,45,47.6,1182708,1758,-62
6,3.453125,676,1990,1840,3903,645.44,0.586,636,110,274,9.81,35.34710833,-117.8099017,12,6,17,45,47.8,1182728,1884,-58
6.21,3.273438,699,2134,1969,4032,668.32,0.607,658,117,274,10.08,35.34711167,-117.8099783,12,6,17,45,48,1182749,2015,-55
6.4,2.976562,718,2269,2103,4166,688.44,0.626,677,125,272,10.46,35.347115,-117.8100583,12,6,17,45,48.2,1182768,2151,-57
6.6,2.738281,736,2415,2240,4303,708.04,0.644,696,130,271,10.58,35.34711833,-117.810145,12,6,17,45,48.4,1182788,2291,-72
6.8,2.144531,751,2563,2381,4444,724.32,0.659,712,133,270,10.58,35.34711833,-117.8102317,12,6,17,45,48.6,1182808,2434,-59
7,1.316406,762,2715,2525,4588,737.83,0.672,725,137,270,10.7,35.34712,-117.8103233,12,6,17,45,48.8,1182828,2580,-58
7.2,-0.464844,765,2868,2672,4735,748.59,0.682,735,142,270,10.93,35.34712,-117.8104167,12,6,17,45,49,1182848,2730,-59
7.4,-0.820312,760,3021,2819,4882,748.97,0.682,735,144,270,11.08,35.34712,-117.8105133,12,6,17,45,49.2,1182868,2880,-65
7.6,-1,754,3172,2965,5028,742.3,0.677,728,145,270,11.26,35.34712,-117.81061,12,6,17,45,49.4,1182888,3028,-66
7.8,-1.414062,746,3322,3110,5173,736.22,0.671,722,144,270,11.28,35.34712,-117.8107067,12,6,17,45,49.6,1182908,3176,-64
8,-1.476562,737,3471,3254,5317,728.38,0.665,714,144,270,11.4,35.34712,-117.8108033,12,6,17,45,49.8,1182928,3323,-64
8.2,-1.476562,727,3617,3396,5459,719.36,0.657,705,143,270,11.47,35.34712,-117.8109,12,6,17,45,50,1182948,3468,-67
8.4,-1.476562,718,3762,3537,5600,710.34,0.649,696,142,270,11.53,35.34712,-117.810995,12,6,17,45,50.2,1182968,3612,-70
8.6,-1.476562,708,3905,3675,5738,701.32,0.641,687,141,269,11.6,35.34712,-117.81109,12,6,17,45,50.4,1182988,3753,-70
8.8,-1.414062,699,4046,3812,5875,692.1,0.633,678,139,269,11.59,35.34711833,-117.8111833,12,6,17,45,50.6,1183008,3892,-66
9,-1.355469,690,4185,3947,6010,682.11,0.624,668,138,270,11.67,35.34711833,-117.8112767,12,6,17,45,50.8,1183028,4030,-68
9.2,-1.355469,681,4322,4079,6142,674.07,0.617,660,137,270,11.73,35.34711833,-117.81137,12,6,17,45,51,1183048,4165,-68
9.4,-1.476562,671,4457,4211,6274,665.05,0.609,651,136,270,11.8,35.34711833,-117.81146,12,6,17,45,51.2,1183068,4300,-68
9.6,-1.414062,662,4591,4340,6403,656.04,0.601,642,135,270,11.88,35.34711833,-117.8115517,12,6,17,45,51.4,1183088,4432,-70
9.8,-1.355469,653,4722,4468,6531,648.01,0.594,634,134,271,11.93,35.34712,-117.8116417,12,6,17,45,51.6,1183108,4563,-69
