Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
3.20,4.140625,436.00,702.00,616.00,2695.00,405.03,0.366,393.00,98.00,288,14.00,35.34704167,-117.80938333,11,6,22,47,58.40,338616,680,-51
3.40,3.546875,463.00,792.00,697.00,2776.00,431.26,0.390,417.00,110.00,287,14.78,35.34706000,-117.80945000,11,6,22,47,58.60,338636,763,-50
3.60,4.796875,491.00,888.00,783.00,2862.00,458.26,0.415,442.00,121.00,285,15.31,35.34707667,-117.80952500,11,6,22,47,58.80,338656,851,-51
3.80,4.140625,518.00,989.00,874.00,2953.00,484.76,0.439,467.00,130.00,285,15.56,35.34709500,-117.80960667,11,6,22,47,59.00,338676,946,-50
4.00,4.261719,546.00,1095.00,971.00,3050.00,512.49,0.464,493.00,140.00,285,15.85,35.34711500,-117.80969333,11,6,22,47,59.20,338696,1046,-55
4.20,3.843750,573.00,1207.00,1071.00,3150.00,538.88,0.488,517.00,152.00,287,16.38,35.34713667,-117.80978667,11,6,22,47,59.40,338716,1150,-57
4.40,4.500000,601.00,1325.00,1177.00,3256.00,566.56,0.513,542.00,165.00,286,16.93,35.34716167,-117.80989000,11,6,22,47,59.60,338736,1260,-55
4.60,4.140625,629.00,1448.00,1288.00,3367.00,593.39,0.538,567.00,175.00,285,17.15,35.34718667,-117.81000000,11,6,22,47,59.80,338756,1376,-55
4.80,3.253906,653.00,1577.00,1404.00,3483.00,619.94,0.562,592.00,184.00,285,17.27,35.34721167,-117.81011500,11,6,22,48,0.00,338776,1499,-53
5.01,2.066406,671.00,1716.00,1525.00,3604.00,642.66,0.583,613.00,193.00,286,17.48,35.34724000,-117.81023833,11,6,22,48,0.20,338797,1626,-59
5.20,-1.140625,675.00,1844.00,1649.00,3728.00,656.83,0.596,625.00,202.00,286,17.91,35.34727000,-117.81036500,11,6,22,48,0.40,338816,1756,-64
5.40,-1.496094,666.00,1978.00,1773.00,3852.00,653.65,0.593,621.00,204.00,286,18.19,35.34730167,-117.81049667,11,6,22,48,0.60,338836,1887,-59
5.60,-1.496094,656.00,2111.00,1897.00,3976.00,643.84,0.585,611.00,203.00,286,18.38,35.34733333,-117.81062667,11,6,22,48,0.80,338856,2017,-56
5.80,-1.554688,646.00,2241.00,2018.00,4097.00,634.04,0.576,601.00,202.00,286,18.58,35.34736333,-117.81075667,11,6,22,48,1.00,338876,2145,-56
